dwm.exe

Context

Frames per second

Time	FPS	
94348633	25
94516046	25
94682474	26
94849126	26
95015289	26
95182430	27
95348654	27
95514932	27
95681729	28
95848181	29
96014604	29
96185078	29
96348639	30
96515025	31
96681212	30
96848003	31
97014571	31
97181410	32
97348014	32
97514268	32
97681270	33
97847910	33
98014864	34
98181443	34
98348361	35
98514681	36
98680862	35
98847689	36
99013919	36
99180994	37
99347380	36
99514098	36
99680425	35
99846998	34
100014073	35
100180665	35
100347238	35
100513963	35
100682661	35
100847158	36
101015181	37
101180160	37
101346812	36
101513259	37
101680255	37
101847040	38
102013258	39
102179874	39
102346785	38
102513486	39
102680446	38
102847013	39
103013315	39
103179852	39
103346299	39
103512982	39
103679398	39
103845978	39
104012521	39
104179475	38
104345874	39
104513142	40
104679323	40
104846132	39
105012506	38
105179623	39
105346414	39
105512710	38
105679682	39
105845857	39
106012461	38
106179662	39
106345644	38
106512194	37
106678701	36
106845528	37
107012560	37
107178856	37
107345478	37
107512468	37
107679809	37
107845610	36
108011942	36
108178503	36
108344817	35
108511807	35
108678622	35
108845443	36
109011558	35
109178192	35
109345098	35
109512076	36
109679416	35
109844945	35
110011622	36
110178455	36
110344793	35
110511282	35
110678363	36
110844290	35
111011027	34
111177516	33
111344174	33
111510778	33
111677605	33
111844179	33
112010517	33
112177398	33
112343924	33
112510618	34
112676992	34
112843729	34
113010478	34
113177057	34
113343721	35
113510180	34
113677104	34
113843732	35
114010010	34
114176801	34
114343320	35
114509984	34
114676811	34
114843258	33
115009795	33
115176550	34
115344343	34
115509963	33
115676440	34
115842953	34
116010354	34
116176487	34
116343247	34
116509326	35
116676195	36
116842853	37
117009192	36
117176218	36
117342592	36
117509444	36
117676096	36
117842343	36
118009134	36
118175605	37
118342281	37
118508795	37
118676056	37
118842346	36
119009101	36
119175379	36
119342653	36
119510023	36
119676561	36
119842555	37
120009074	38
120175364	37
120342318	37
120508795	38
120675471	39
120841724	38
121010121	39
121175632	40
121342695	41
121508363	40
121675407	41
121842059	41
122008138	40
122174856	40
122341418	40
122508698	40
122674873	40
122841471	40
123007845	41
123174540	41
123341131	41
123507753	40
123676132	41
123841957	41
124008156	40
124174941	41
124340965	41
124507370	40
124673853	41
124840746	41
125006946	41
125173634	41
125340546	40
125507234	40
125673783	40
125840713	40
126007196	39
126174410	39
126340724	40
126507672	40
126674342	40
126840758	40
127007676	40
127174153	41
127340805	41
127507270	42
127673940	42
127840604	42
128007353	43
128177314	43
128340066	44
128507098	44
128673714	45
128840155	45
129006825	46
129173471	46
129339718	46
129506244	47
129673155	47
129839379	47
130006176	47
130173106	47
130339359	48
130505945	48
130673104	47
130839219	47
131005515	47
131172867	46
131339127	46
131505459	45
131672250	45
131838799	45
132005264	44
132172212	45
132338906	45
132505196	44
132672066	45
132838778	45
133005358	45
133171968	45
133338529	45
133505223	45
133671845	46
133838497	46
134005083	46
134171584	47
134338417	47
134504804	46
134671667	47
134838066	46
135004820	46
135171430	47
135338064	48
135504650	49
135671507	49
135837942	50
136004600	50
136171216	51
136337977	51
136504454	51
136670931	50
136837637	50
137005352	50
137172481	50
137338288	50
137503889	49
137670994	49
137837978	49
138003990	49
138171089	49
138337325	49
138503910	49
138670677	49
138837202	49
139003830	49
139170422	49
139337014	49
139503696	50
139670251	50
139837006	50
140003562	50
140170177	50
140336938	50
140503494	50
140670067	50
140836713	51
141003534	51
141169969	52
141336579	53
141503116	53
141669780	54
141836457	55
142003006	55
142169749	56
142336377	56
142502938	56
142669874	57
142836116	57
143002574	57
143169251	57
143336005	57
143502344	57
143669593	57
143835805	57
144002565	57
144169248	57
144335743	57
144502184	57
144668655	58
144835910	58
145001935	59
145168575	59
145335516	59
145502138	59
145668664	59
145835243	59
146001925	59
146168493	59
146335115	59
146501737	59
146668347	59
146834854	60
147001651	60
147168351	60
147335160	60
147502338	60
147668368	61
147835219	61
148001467	61
148168131	61
148334813	61
148501930	61
148667676	61
148835125	61
149001826	61
149168230	61
149334261	61


Latency (1/10 us)

Time	Time (1/10 us)	
6538505	466364
6871670	463206
7371403	637767
9205119	1966896
9371222	294489
9537331	294749
9704931	281340
9871293	299567
10370657	630456
10870590	633904
11870110	1129302
13203489	1469844
13369996	277512
13703168	470470
15036282	1468921
15202704	278502
15536117	467807
15702630	285058
16535776	971367
17535556	1110670
18035397	627570
18701873	796553
20535051	1959518
21201273	794047
21701151	625656
23367442	1795456
23533986	245139
23700602	272344
23867151	274517
24033713	285174
24200389	237882
24367144	293560
24533711	284865
24700387	294767
24866979	284419
25033559	275761
25200247	274668
25366875	294006
25533575	272331
25700125	281757
25866765	273431
26200039	467674
26366649	296059
26533077	214855
26700110	192722
27033082	383947
27200501	293548
27366380	257757
27700155	398020
28032723	417883
28199749	207194
28366051	214886
28532449	214106
29199203	682089
29365722	293034
30032312	793926
30532129	623989
31365335	956962
31532223	226290
31698507	233390
31865177	201307
32031926	239011
32364934	440548
32532250	330424
32698383	307506
33031886	501797
33697945	787877
33864718	294779
35197687	1458071
36033622	960379
37530339	1641652
37863740	439618
39363210	1620159
39530158	240448
39863003	414182
41529760	1778371
41862551	432554
42195686	467638
43195399	1127206
43862031	797935
44361571	624002
44528459	290553
44861696	473276
45028536	287196
45694836	794856
46528066	966531
47194185	769082
47360982	298932
47694353	467131
47860721	294344
48694175	952983
49193998	631808
49360765	275006
49527115	224968
49693936	260009
49860631	269736
50027090	274934
50193814	269711
50360460	263529
50527004	240895
50693776	261796
50860102	257787
51026809	224135
51193618	263698
51360077	273123
51527471	273388
51693363	261145
51859707	267701
52526225	793703
53526252	1133214
53692819	243333
53859278	250844
54026136	308841
54359367	469418
54526038	248961
54692563	287721
54859161	254697
55025861	298703
55192290	266971
55358887	198264
55692312	365049
55859973	231404
56025550	261024
56525271	629502
57025336	636144
57191734	219419
57691823	536265
57858330	258813
58024838	240201
58358142	430888
58524764	252825
58858026	445384
59358036	631090
59691207	464051
59857787	288422
60190789	464371
60691192	626066
61190756	616026
61857141	790865
62357188	630963
63023633	788825
63356925	466925
63690121	466322
64190023	629949
64523719	465518
64856498	464468
65356448	631856
65689650	460272
66191719	634374
66522844	467052
67022607	634827
67355881	457344
67689131	463587
68188990	628234
68688820	636355
69022075	461165
69521959	630142
69855245	459318
70188610	464746
70521558	468525
71022275	641203
71354776	467137
71688104	467342
72021318	466412
72354507	467782
72854379	629961
73187617	460103
73521005	467335
73854279	459553
74353946	634803
74687449	459614
75020614	463260
75186947	296977
75687017	625209
76189057	630559
76353469	299754
76520006	295431
76686743	303793
77186548	607296
77686547	628186
78186539	633765
78519843	474955
79019540	634532
79186578	273364
79352904	293106
79519417	279528
79853428	466961
80185947	454307
80352521	303099
80522506	307096
80685819	301946
81018876	453921
81685544	795822
81852281	291923
82185265	467456
82852550	801739
83185069	459892
83518319	465646
84018064	633445
84351392	463442
84684744	462620
85184592	633668
86017273	962794
86517350	641432
87184073	797428
88017218	964521
88517066	617095
89183505	784176
89350429	298190
89516658	286236
89683304	291712
90016578	466611
90516305	632454
91016255	634012
91182889	466122
91516103	457459
92182361	773453
92516015	642591
92849332	609669
93182255	459740
93348992	281949
93682363	471218
93848713	271529
94015202	284413
94516046	642121
94682474	302718
94849126	296735
95182430	465258
95348654	296391
95681729	455430
95848181	298618
96185078	452327
96348639	296488
96515025	276950
96848003	449694
97181410	441598
97348014	280060
97681270	445329
98014864	287649
98181443	297429
98348361	305695
98514681	303147
98847689	453624
99180994	469033
99514098	453159
100014073	640696
100180665	463370
100682661	637930
100847158	301420
101015181	287311
101180160	312124
101513259	462469
101680255	469660
101847040	311128
102013258	297400
102513486	642676
102847013	439672
103013315	290667
103346299	464124
103512982	456088
103845978	459240
104012521	298733
104345874	480190
104513142	299332
104679323	275339
105179623	632165
105346414	287631
105679682	457253
105845857	311817
106179662	466068
106845528	810566
107012560	607115
107345478	431733
107512468	453667
108178503	796534
108511807	480956
108678622	467378
108845443	315849
109345098	617307
109512076	299410
110011622	632847
110178455	304270
110678363	636953
111344174	760147
111677605	451898
111844179	457073
112010517	289853
112177398	282378
112510618	465072
112676992	298051
113010478	452949
113177057	455013
113343721	299071
113677104	464933
113843732	478717
114176801	465133
114343320	459409
114676811	469207
115176550	626526
115344343	307633
115676440	456746
115842953	451572
116010354	302187
116343247	469630
116509326	470946
116676195	298546
116842853	303352
117176218	457000
117509444	445215
117676096	450540
118175605	628862
118342281	437046
118676056	477907
119009101	464945
119510023	631132
119676561	251418
119842555	278146
120009074	296880
120342318	435549
120508795	274113
120675471	290306
121010121	466659
121175632	291265
121342695	291996
121675407	443204
121842059	275290
122174856	459529
122341418	443892
122674873	470306
122841471	278104
123007845	282257
123174540	298891
123341131	291488
123676132	435694
123841957	290239
124174941	272736
124340965	267115
124673853	439805
124840746	297695
125507234	795122
125840713	447847
126174410	272441
126340724	253024
126507672	238190
126674342	252765
126840758	240423
127007676	241999
127174153	245791
127340805	242802
