     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  3003,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddDisable
 Dxgkernel,  3004,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddGetDisplayModeList
 Dxgkernel,  3005,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddGetDriverCaps
 Dxgkernel,  3006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddLock
 Dxgkernel,  3007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddUnlock
 Dxgkernel,  3008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddPresent
 Dxgkernel,  3009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetGammaRamp
 Dxgkernel,  3010,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetPalette
 Dxgkernel,  3011,      289,      94325, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetPointerPosition
 Dxgkernel,  3012,       80,     126740, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetPointerShape
 Dxgkernel,  3013,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddTerminateThread
 Dxgkernel,  3014,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetOrigin
 Dxgkernel,  3015,      455,      88115, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddWaitForVerticalBlankEvent
 Dxgkernel,  3016,       55,       8752, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSyncGPUAccess
 Dxgkernel,  3017,        5,       9332, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddCreateAllocation
 Dxgkernel,  3018,        5,       3306, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddDestroyAllocation
 Dxgkernel,  3019,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddBltToPrimary
 Dxgkernel,  3020,      151,      92540, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddGdiCommand
 Dxgkernel,  3021,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvBitBlt
 Dxgkernel,  3022,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvColorFill
 Dxgkernel,  3023,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvStrokePath
 Dxgkernel,  3024,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvAlphaBlend
 Dxgkernel,  3025,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvLineTo
 Dxgkernel,  3026,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvFillPath
 Dxgkernel,  3027,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvStrokeAndFillPath
 Dxgkernel,  3028,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvStretchBltROP
 Dxgkernel,  3029,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvPlgBlt
